id,created_at,updated_at,deleted_at,user_id,plan_id,coupon_id,started_at,ended_at,unsubscribed_at,admin_id,is_renewal,is_cancel
1,2022-06-10 20:07:45+08:00,2022-06-10 12:07:45,,8,,,2022-06-10 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
2,2022-06-10 21:51:38+08:00,2022-06-10 13:51:38,,36,,,2022-06-10 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
3,2022-06-13 14:28:14+08:00,2022-06-13 06:28:14,,37,,,2022-06-13 12:00:00+08:00,2022-06-20 11:59:59+08:00,,,0,0
4,2022-06-13 16:24:19+08:00,2022-06-13 08:24:19,,14,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
5,2022-06-13 17:54:21+08:00,2022-06-13 09:54:21,,39,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
6,2022-06-13 17:54:42+08:00,2022-06-13 09:54:42,,40,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
7,2022-06-13 17:55:05+08:00,2022-06-13 09:55:05,,41,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
8,2022-06-13 17:56:02+08:00,2022-06-13 09:56:02,,42,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
9,2022-06-13 17:56:20+08:00,2022-06-13 09:56:20,,43,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
10,2022-06-13 17:56:56+08:00,2022-06-13 09:56:56,,44,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
11,2022-06-13 17:57:20+08:00,2022-06-13 09:57:20,,45,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
12,2022-06-13 17:57:42+08:00,2022-06-13 09:57:42,,46,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
13,2022-06-13 17:58:20+08:00,2022-06-13 09:58:20,,47,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
14,2022-06-13 18:00:21+08:00,2022-06-13 10:00:21,,48,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
15,2022-06-13 18:01:19+08:00,2022-06-13 10:01:19,,49,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
16,2022-06-13 18:01:19+08:00,2022-06-13 10:01:19,,50,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
17,2022-06-13 18:01:43+08:00,2022-06-13 10:01:43,,51,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
18,2022-06-13 18:01:46+08:00,2022-06-13 10:01:46,,52,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
19,2022-06-13 18:02:01+08:00,2022-06-13 10:02:01,,53,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
20,2022-06-13 18:02:08+08:00,2022-06-13 10:02:08,,54,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
21,2022-06-13 18:02:24+08:00,2022-06-13 10:02:24,,55,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
22,2022-06-13 18:02:39+08:00,2022-06-13 10:02:39,,56,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
23,2022-06-13 18:02:45+08:00,2022-06-13 10:02:45,,57,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
24,2022-06-13 18:04:05+08:00,2022-06-13 10:04:05,,58,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
25,2022-06-13 18:04:31+08:00,2022-06-13 10:04:31,,59,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
26,2022-06-13 18:04:53+08:00,2022-06-13 10:04:53,,60,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
27,2022-06-13 18:05:18+08:00,2022-06-13 10:05:18,,61,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
28,2022-06-13 18:05:42+08:00,2022-06-13 10:05:42,,62,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
29,2022-06-13 18:06:05+08:00,2022-06-13 10:06:05,,63,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
30,2022-06-13 18:06:15+08:00,2022-06-13 10:06:15,,64,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
31,2022-06-13 18:06:28+08:00,2022-06-13 10:06:28,,65,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
32,2022-06-13 18:06:53+08:00,2022-06-13 10:06:53,,66,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
33,2022-06-13 18:07:20+08:00,2022-06-13 10:07:20,,67,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
34,2022-06-13 18:07:53+08:00,2022-06-13 10:07:53,,68,,,2022-06-13 12:00:00+08:00,2022-06-30 11:59:59+08:00,,,0,0
35,2022-06-14 18:08:07+08:00,2022-06-14 10:08:07,,70,,,2022-06-14 12:00:00+08:00,2025-07-01 11:59:59+08:00,,,0,0
